train/entropy_loss,train/learning_rate,time/total_timesteps,time/fps,rollout/ep_len_mean,train/policy_gradient_loss,train/std,train/n_updates,train/approx_kl,train/explained_variance,time/time_elapsed,train/clip_fraction,train/loss,train/clip_range,train/value_loss,rollout/ep_rew_mean
-22.275526766479015,0.0017,260000,858,38.95,-0.0012714499818685,1.0695499181747437,310,0.0011328806,0.0,302,9.765625e-05,37404274688.0,0.2,70420991356.8,-960584.7413025901
-22.308816228806972,0.0017,270000,861,47.31,-0.0016432040425570448,1.071860432624817,320,0.0016865284,0.0,313,0.00029296875,31783147520.0,0.2,65955419920.0,-1169913.6507303298
-22.37326734215021,0.0017,280000,851,45.69,-0.0018205220118034048,1.0763928890228271,340,0.0017069341,0.0,328,0.000244140625,34454691840.0,0.2,71596656828.8,-1121543.50833625
-22.40481458902359,0.0017,290000,854,41.09,-0.0016232301804848248,1.078768253326416,350,0.0015556825,0.0,339,0.0002197265625,35376300032.0,0.2,67908412438.4,-1014370.1986574199
-22.435887087881564,0.0017,300000,856,36.84,-0.0015268164357621571,1.0808576345443726,360,0.0015504567,-2.384185791015625e-07,350,0.000244140625,31897120768.0,0.2,70334352012.8,-912363.1390014898
-22.468099668622017,0.0017,310000,859,35.65,-0.001713262649536773,1.083424687385559,370,0.0015700414,0.0,360,0.000244140625,35902275584.0,0.2,68850042006.4,-890268.3980051401
-22.533275178074838,0.0017,320000,850,41.64,-0.0017421361540982615,1.0878568887710571,390,0.0017020223,1.1920928955078125e-07,376,0.000390625,33496379392.0,0.2,69066372496.0,-1023258.6371456501
-22.563934861123563,0.0017,330000,853,45.76,-0.001484828417233075,1.0902998447418213,400,0.0013719779,-1.1920928955078125e-07,386,7.32421875e-05,34247010304.0,0.2,69510885651.2,-1116260.11473249
-22.599057474732398,0.0017,340000,856,52.75,-0.0014241120743463398,1.0929715633392334,410,0.0010529849,0.0,397,7.32421875e-05,36054458368.0,0.2,70457540835.2,-1287003.4676882501
-22.632070565223692,0.0017,350000,856,40.98,-0.0009494295321928803,1.0951087474822998,420,0.00078700366,2.384185791015625e-07,408,1.220703125e-05,35595464704.0,0.2,69946523459.2,-1008473.22347118
-22.662816606462002,0.0017,360000,856,49.21,-0.0025746811597855412,1.0974373817443848,430,0.0025214618,-2.384185791015625e-07,420,0.0010009765625,29532790784.0,0.2,66947934848.0,-1211511.12300412
-22.734084908664226,0.0017,370000,847,42.59,-0.0007697257642576005,1.102854609489441,450,0.00055321155,2.384185791015625e-07,436,0.0,32873803776.0,0.2,69590543347.2,-1048185.6814105299
-22.768072889745234,0.0017,380000,847,38.79,-0.0014404157638637117,1.1051632165908813,460,0.0014769632,-2.384185791015625e-07,448,0.00018310546875,33052993536.0,0.2,66957286259.2,-956831.1012316399
-22.801250636577606,0.0017,390000,850,45.77,-0.0016415615784353577,1.1077481508255005,470,0.0014195961,0.0,458,0.00013427734375,32861100032.0,0.2,65078679977.6,-1115018.2291020998
-22.835493920743467,0.0017,400000,853,33.35,-0.001219053579370666,1.1102221012115479,480,0.000841849,1.1920928955078125e-07,468,2.44140625e-05,35013050368.0,0.2,68073654809.6,-832104.6069223599
-22.907876987755298,0.0017,410000,847,37.2,-0.002509792710043257,1.1155505180358887,500,0.0021924267,0.0,483,0.0008056640625,35343699968.0,0.2,65571540624.0,-913728.51482202
-22.940006574988367,0.0017,420000,850,36.59,-0.0010144828267584672,1.1179105043411255,510,0.00080953824,0.0,493,0.0,33948923904.0,0.2,68122176377.6,-907889.4257051998
-22.97391609698534,0.0017,430000,853,33.87,-0.0021681547194020824,1.1206047534942627,520,0.001891426,-2.384185791015625e-07,503,0.000439453125,33203470336.0,0.2,66565711513.6,-841169.7815783301
-23.010135701298715,0.0017,440000,856,34.84,-0.0015676269395044073,1.1233278512954712,530,0.0012476118,0.0,513,8.544921875e-05,32933017600.0,0.2,66815622710.4,-865720.7270031798
-23.046602372825145,0.0017,450000,858,39.11,-0.002300284214288695,1.1260666847229004,540,0.001885585,0.0,524,0.00052490234375,33111363584.0,0.2,64390813510.4,-969124.90285246
-23.112987500429153,0.0017,460000,853,41.1,-0.0017035103435773635,1.1311593055725098,560,0.001319412,-1.1920928955078125e-07,538,0.0001708984375,33857054720.0,0.2,63251578512.0,-1006673.0294424401
-23.14976365119219,0.0017,470000,855,35.09,-0.001403342399498797,1.1337679624557495,570,0.0012037461,0.0,549,6.103515625e-05,38580641792.0,0.2,66452537628.8,-874779.08166784
-23.18277081847191,0.0017,480000,857,38.14,-0.0015603701654981704,1.1361467838287354,580,0.0011495125,1.7881393432617188e-07,559,2.44140625e-05,34648592384.0,0.2,64786709657.6,-936483.97942768
-23.214809133112432,0.0017,490000,858,42.57,-0.0013228897133558347,1.1386264562606812,590,0.0011180276,-1.1920928955078125e-07,570,3.662109375e-05,31265056768.0,0.2,63294911868.8,-1042802.0319440999
-23.284746211767196,0.0017,500000,853,33.29,-0.0010960570916722645,1.143943190574646,610,0.000806608,-2.384185791015625e-07,585,1.220703125e-05,29576054784.0,0.2,62052855244.8,-821802.28004649
-23.32115829586983,0.0017,510000,854,34.19,-0.0012462534083169884,1.1470139026641846,620,0.00090643374,1.7881393432617188e-07,596,3.662109375e-05,33773260800.0,0.2,62959808256.0,-846955.47062895
-23.359494672715662,0.0017,520000,856,37.2,-0.0012027776321701822,1.1498068571090698,630,0.0009770263,-1.1920928955078125e-07,607,1.220703125e-05,30825539584.0,0.2,63686642812.8,-911543.0781263399
-23.39575103968382,0.0017,530000,857,33.37,-0.0016847550710735958,1.1525588035583496,640,0.0013980328,0.0,617,7.32421875e-05,29645205504.0,0.2,62043567628.8,-823285.0247134
-23.433773076534273,0.0017,540000,859,34.82,-0.001637935576036398,1.1556719541549683,650,0.0013008891,0.0,628,0.00015869140625,32614817792.0,0.2,62692280595.2,-854081.9357527597
-23.50826961398125,0.0017,550000,854,37.68,-0.0018014272100117523,1.1613620519638062,670,0.0013582977,-2.384185791015625e-07,643,0.0001220703125,30429970432.0,0.2,60720178633.6,-928224.7582605499
-23.544842682778835,0.0017,560000,856,28.14,-0.0014505154535072507,1.1640262603759766,680,0.0010684361,0.0,654,0.00010986328125,29496952832.0,0.2,62913678800.0,-704314.85830217
-23.57807567715645,0.0017,570000,857,36.87,-0.0018919506339443615,1.1665235757827759,690,0.0014588684,0.0,664,0.000146484375,30256570368.0,0.2,59741207894.4,-900602.0908416498
-23.607769429683685,0.0017,580000,860,36.33,-0.001051046105567366,1.1686596870422363,700,0.00096952415,1.7881393432617188e-07,674,2.44140625e-05,33866805248.0,0.2,63789206995.2,-909080.8025030799
-23.673661418259144,0.0017,590000,856,33.16,-0.001172311767732026,1.1741517782211304,720,0.00091071764,-1.1920928955078125e-07,689,3.662109375e-05,31208988672.0,0.2,61240889388.8,-817783.31313582
-23.7116068482399,0.0017,600000,857,36.1,-0.001980712861950451,1.1772551536560059,730,0.0016272309,1.1920928955078125e-07,699,0.00020751953125,28558864384.0,0.2,61837362099.2,-893130.09669169
-23.747800993919373,0.0017,610000,858,34.01,-0.001009651182903326,1.1798343658447266,740,0.00085168384,0.0,710,2.44140625e-05,31445364736.0,0.2,63435515862.4,-842036.3276635002
