time/time_elapsed,train/learning_rate,train/std,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_range,time/total_timesteps,train/policy_gradient_loss,rollout/ep_rew_mean,train/approx_kl,train/loss,train/n_updates,train/clip_fraction,time/fps,rollout/ep_len_mean
375,0.0003,0.977397620677948,-8.377434591203928,0.0,1558033924.85,0.2,560000,-0.0016339086028892779,-212554.29408701003,0.0024160794,631716032.0,680,0.0005126953125,1490,106.3
381,0.0003,0.976989209651947,-8.373114127665758,0.0,1645419247.65,0.2,570000,-0.0010588155287223344,-221098.21544055,0.0015961699,641757312.0,690,0.0001708984375,1494,104.49
387,0.0003,0.9773983955383301,-8.373160587996244,0.0,1634109990.0,0.2,580000,-0.0014340233681650715,-195912.91149826997,0.002093695,802012928.0,700,0.0005615234375,1498,89.89
396,0.0003,0.9765637516975403,-8.369227557629348,0.0,1672091147.3,0.2,590000,-0.001690329081066011,-190608.41024386,0.0024196536,753939712.0,720,0.00078125,1489,90.61
401,0.0003,0.9772041440010071,-8.371203511953354,0.0,1524566632.3,0.2,600000,-0.0014202521178958705,-199859.58314676,0.0019523497,742651072.0,730,0.00047607421875,1492,102.88
407,0.0003,0.9766034483909607,-8.371101607382297,-1.1920928955078125e-07,1671153308.05,0.2,610000,-0.0014805103703110945,-207332.61254223,0.0022839615,924480768.0,740,0.00103759765625,1496,93.63
413,0.0003,0.9762365221977234,-8.36807634010911,0.0,1489442941.1,0.2,620000,-0.0009360747864775476,-203300.65191143003,0.0014694555,777968256.0,750,7.32421875e-05,1499,100.41
419,0.0003,0.976503312587738,-8.367744059860707,0.0,1589356789.0,0.2,630000,-0.0015958960480929817,-207063.29080459996,0.002465156,765614464.0,760,0.00162353515625,1502,101.65
428,0.0003,0.9759557843208313,-8.367168338596821,-1.1920928955078125e-07,1658097055.15,0.2,640000,-0.0019665520148919313,-184380.10303627004,0.002977567,988436416.0,780,0.002880859375,1494,88.03
433,0.0003,0.9757269024848938,-8.36440226584673,-1.1920928955078125e-07,1600003385.1,0.2,650000,-0.0024667510291692452,-196731.09217400002,0.0034524016,611809344.0,790,0.0039794921875,1497,92.39
439,0.0003,0.9747511744499207,-8.360559713840484,-2.384185791015625e-07,1519753067.2,0.2,660000,-0.002046939923093305,-191600.53603082002,0.0036190222,885291264.0,800,0.00711669921875,1500,85.21
445,0.0003,0.9752271771430969,-8.358900818228722,-1.1920928955078125e-07,1623195458.8,0.2,670000,-0.0016362565313102096,-174140.56804205,0.00230433,945220864.0,810,0.00111083984375,1503,86.02
