time/fps,time/total_timesteps,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/value_loss,rollout/ep_rew_mean,train/std,train/loss,train/learning_rate,time/time_elapsed,train/clip_range,rollout/ep_len_mean,train/n_updates,train/clip_fraction
824,360000,0.0,-0.0003229581213417987,-21.286055307090283,4.779134e-05,43077827372.8,-1414015.6255448,1.000144362449646,20989417472.0,0.0003,436,0.2,98.34,430,0.0
817,370000,-1.1920928955078125e-07,-0.0003311870480501966,-21.28653966784477,4.6356472e-05,44709768355.2,-1470682.1072849997,1.000198245048523,22898110464.0,0.0003,452,0.2,103.15,450,0.0
819,380000,0.0,-0.0007059401597871329,-21.286840845644473,0.00015025132,43400896083.2,-1290321.33821039,1.0001710653305054,23289016320.0,0.0003,463,0.2,91.28,460,0.0
821,390000,0.0,-0.0003870498706419312,-21.286246471107006,6.901248e-05,43540871270.4,-1241285.48850358,1.0001215934753418,21160554496.0,0.0003,474,0.2,86.83,470,0.0
822,400000,0.0,-0.00047465557072428054,-21.285782596468927,8.1835125e-05,42644893331.2,-1461397.8839226,1.0001083612442017,18447355904.0,0.0003,486,0.2,102.88,480,0.0
816,410000,5.960464477539063e-08,-0.0004243618235705071,-21.2863543972373,6.5814485e-05,45436109945.6,-1551849.00618256,1.0002065896987915,22227550208.0,0.0003,502,0.2,109.1,500,0.0
818,420000,0.0,-0.0003525639657709689,-21.287320877611638,5.844926e-05,43249981235.2,-1393875.78906166,1.0002256631851196,22927847424.0,0.0003,513,0.2,99.1,510,0.0
819,430000,5.960464477539063e-08,-0.0003352338762852014,-21.286672128736974,5.4667085e-05,40768175971.2,-1158483.62983755,1.000120997428894,21678391296.0,0.0003,524,0.2,82.13,520,0.0
821,440000,5.960464477539063e-08,-0.00021738671330240322,-21.285531002283097,3.364864e-05,44529378368.0,-1431282.0238330204,1.000077486038208,23482048512.0,0.0003,535,0.2,99.87,530,0.0
822,450000,5.960464477539063e-08,-0.0005618709599730209,-21.28555475473404,0.00011327374,43547991859.2,-1439348.91998712,1.0001224279403687,22270873600.0,0.0003,547,0.2,101.04,540,0.0
817,460000,0.0,-0.00033001077272274413,-21.286188191175462,5.013631e-05,41934792774.4,-1243125.9212881501,1.0001589059829712,22217650176.0,0.0003,562,0.2,87.64,560,0.0
818,470000,0.0,-0.0004596266999215004,-21.28606930822134,8.46293e-05,41164963529.6,-1173867.39690133,1.0001099109649658,21844092928.0,0.0003,574,0.2,83.2,570,0.0
819,480000,0.0,-0.0003434649168411852,-21.28582122474909,5.4676508e-05,42362421408.0,-1424546.7879922402,1.0001276731491089,20955052032.0,0.0003,585,0.2,101.22,580,0.0
820,490000,-1.1920928955078125e-07,-0.0004105125628029782,-21.286321434378625,7.5832606e-05,43313086640.0,-1214178.6446152,1.0001740455627441,23210776576.0,0.0003,596,0.2,85.73,590,0.0
815,500000,5.960464477539063e-08,-0.0003311817447865906,-21.286746472120285,4.42319e-05,44768628384.0,-1515838.5041780204,1.0001660585403442,21875515392.0,0.0003,612,0.2,107.51,610,0.0
817,510000,0.0,-0.0005242390013336263,-21.286700804531574,9.3064526e-05,43899319856.0,-1409730.9585246504,1.0001883506774902,22559752192.0,0.0003,624,0.2,99.53,620,0.0
818,520000,0.0,-0.0004514326530625112,-21.287426663935186,8.375736e-05,42045242793.6,-1257002.53909319,1.0002626180648804,21367549952.0,0.0003,635,0.2,88.84,630,0.0
819,530000,5.960464477539063e-08,-0.0004415473922563251,-21.287954726815222,7.593975e-05,43640661235.2,-1458982.220896,1.000257134437561,20568911872.0,0.0003,646,0.2,102.61,640,0.0
820,540000,1.1920928955078125e-07,-0.00037923496656731,-21.288024285435675,6.37037e-05,44598785008.0,-1242975.5970369,1.0002734661102295,23284002816.0,0.0003,658,0.2,87.96,650,0.0
816,550000,-1.1920928955078125e-07,-0.00036763730695383857,-21.289889185130598,6.2049505e-05,43960274569.6,-1541804.04816192,1.000395655632019,21251438592.0,0.0003,673,0.2,109.98,670,0.0
817,560000,5.960464477539063e-08,-0.00037664479323211707,-21.289970149099826,6.419949e-05,44624204310.4,-1490650.0209311307,1.0003962516784668,23263166464.0,0.0003,685,0.2,106.1,680,0.0
818,570000,5.960464477539063e-08,-0.00046380957192013737,-21.289816541969778,8.189082e-05,43151716652.8,-1306655.6698936003,1.0003725290298462,20950700032.0,0.0003,696,0.2,92.4,690,0.0
819,580000,0.0,-0.00041090294998866737,-21.28964427113533,7.079728e-05,42371208595.2,-1152282.6333276602,1.0003753900527954,20382361600.0,0.0003,707,0.2,80.42,700,0.0
815,590000,0.0,-0.00037277366918715417,-21.289902567863464,7.1435614e-05,42776019763.2,-1384906.1118940304,1.0003920793533325,23237337088.0,0.0003,723,0.2,99.11,720,0.0
816,600000,0.0,-0.0003572782781702699,-21.28996008336544,5.3649208e-05,44324727318.4,-1572676.9986350697,1.0003958940505981,20153919488.0,0.0003,735,0.2,112.43,730,0.0
817,610000,0.0,-0.0005575909533945377,-21.28928815126419,0.00010225166,43174008166.4,-1344744.8637216801,1.0003026723861694,20782807040.0,0.0003,746,0.2,95.52,740,0.0
818,620000,0.0,-0.0003721238957950845,-21.2880508184433,5.9387123e-05,43610079027.2,-1381827.2921178802,1.0002323389053345,21839085568.0,0.0003,757,0.2,97.89,750,0.0
819,630000,1.7881393432617188e-07,-0.0004727344259208621,-21.287766337394714,8.7916174e-05,44614905936.0,-1374187.9086180702,1.0002654790878296,22012344320.0,0.0003,769,0.2,96.87,760,0.0
814,640000,-1.1920928955078125e-07,-0.0005502925418113591,-21.287656900286674,9.918329e-05,42240932486.4,-1262004.8273834398,1.0002095699310303,20447002624.0,0.0003,785,0.2,88.95,780,0.0
