time/time_elapsed,train/actor_loss,train/ent_coef_loss,time/total_timesteps,train/critic_loss,time/episodes,train/n_updates,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/ent_coef,train/learning_rate
5015,1545504.75,2.526477098464966,790000,133008.296875,93897,197474,4.11,157,-140567.17238857,382.51788330078125,0.0003
5087,1545918.0,-2.3744335174560547,800000,146728.6875,96270,199974,4.33,157,-143142.00489364,364.3017883300781,0.0003
5158,1384243.875,-1.0488680601119995,810000,146392.40625,98445,202474,4.01,157,-134372.11609042,348.96392822265625,0.0003
5230,1442205.375,-1.9037714004516602,820000,129540.6015625,100692,204974,4.0,156,-132833.13053706998,339.8575134277344,0.0003
5303,1491262.0,1.941061019897461,830000,130790.953125,103116,207474,4.0,156,-134541.43403409998,333.259765625,0.0003
5375,1495904.5,-1.2680295705795288,840000,116284.296875,105581,209974,4.15,156,-136538.05236262,332.59747314453125,0.0003
5448,1549862.75,2.4355568885803223,850000,126785.546875,108018,212474,4.04,155,-134534.19390674998,332.2105407714844,0.0003
5521,1296671.5,0.5080451965332031,860000,127582.3984375,110479,214974,4.0,155,-134970.60509508,329.439697265625,0.0003
5588,1462871.25,1.0100234746932983,870000,104970.9921875,112413,217474,4.13,155,-137356.44875275998,318.8612976074219,0.0003
5656,1418902.0,-5.744572162628174,880000,112337.1171875,114498,219974,4.45,155,-143738.31875401,304.6926574707031,0.0003
5724,1267638.875,-0.05339407920837402,890000,122498.65625,116256,222474,4.45,155,-144548.8260271,281.0186462402344,0.0003
5792,1436842.875,1.9189133644104004,900000,102636.546875,117706,224974,4.43,155,-140068.69861664,277.8276062011719,0.0003
5860,1363659.0,-0.6172860264778137,910000,99446.09375,119339,227474,5.19,155,-154010.59340286,272.4747314453125,0.0003
5928,1139731.0,3.1412205696105957,920000,113266.6328125,120971,229974,5.18,155,-154375.94099238998,264.5536193847656,0.0003
5996,1335119.25,-8.245716094970703,930000,99992.3125,122425,232474,11.16,155,-473735.3082047301,254.19886779785156,0.0003
6064,1311307.5,-1.0097107887268066,940000,96565.046875,123987,234974,4.49,155,-143687.15327942002,253.69151306152344,0.0003
6131,1433709.375,5.577448844909668,950000,94613.6171875,125705,237474,4.43,154,-141797.74792884,244.72647094726562,0.0003
6198,1128742.125,6.6319098472595215,960000,93644.71875,128069,239974,4.44,154,-137361.77453827,240.77499389648438,0.0003
6265,1275120.875,-2.0234780311584473,970000,91907.96875,130294,242474,4.76,154,-146005.70773695997,235.82374572753906,0.0003
6333,1192521.375,4.569174766540527,980000,91341.65625,132349,244974,4.03,154,-128462.60737323003,237.75030517578125,0.0003
6400,1285499.375,-2.437000036239624,990000,99246.609375,134176,247474,4.81,154,-146608.50394037002,233.91102600097656,0.0003
6467,1220714.25,-7.894114017486572,1000000,80216.734375,136158,249974,4.01,154,-128599.30214978001,236.4345703125,0.0003
