train/actor_loss,train/ent_coef,train/ent_coef_loss,train/n_updates,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/total_timesteps,time/episodes,train/learning_rate,rollout/ep_len_mean,train/critic_loss
-81600.4375,99.83172607421875,0.4284530580043793,149974,133486.20492347,4363,137,600000,19084,0.0064,10.14,1161.755615234375
-82564.4140625,106.14315795898438,2.4253249168395996,152474,133376.94861082,4442,137,610000,20045,0.0064,10.47,901.1815185546875
-83566.671875,104.47463989257812,1.823245882987976,154974,133692.29999998,4521,137,620000,21004,0.0064,10.07,761.9044799804688
-84284.796875,97.8961410522461,-0.48430776596069336,157474,133176.37077463002,4600,136,630000,21964,0.0064,10.32,781.5206298828125
-85052.3203125,93.8714599609375,1.5192005634307861,159974,133289.29996832,4680,136,640000,22942,0.0064,10.13,631.3291625976562
-85806.890625,81.32238006591797,-0.4663732051849365,162474,132570.4999731,4759,136,650000,23920,0.0064,10.53,579.3612060546875
-85805.2109375,86.3197021484375,1.3897749185562134,164974,132770.84768238,4839,136,660000,24875,0.0064,10.55,580.2021484375
-84899.671875,69.93966674804688,-0.21013687551021576,167474,133281.69998413,4918,136,670000,25845,0.0064,10.06,703.8491821289062
-85932.7265625,70.44466400146484,0.6507351398468018,169974,133173.39999714,4998,136,680000,26813,0.0064,10.43,576.87548828125
-85815.671875,72.94656372070312,-2.112171173095703,172474,116064.46090219001,5077,135,690000,27701,0.0064,12.02,612.1887817382812
-84917.125,78.291259765625,-0.36590924859046936,174974,133081.37014488998,5156,135,700000,28654,0.0064,10.34,839.8836059570312
-84542.6953125,76.79563903808594,-1.3392009735107422,177474,132972.12560517,5235,135,710000,29578,0.0064,10.38,709.08447265625
-84983.8984375,88.83274841308594,1.596358299255371,179974,133482.49999485002,5314,135,720000,30537,0.0064,10.29,633.880126953125
-85022.3046875,92.71524810791016,-1.1495361328125,182474,131766.93178187,5394,135,730000,31495,0.0064,10.48,731.039794921875
-82749.3125,94.53121948242188,-0.48163944482803345,184974,133175.29999427,5473,135,740000,32399,0.0064,10.47,730.8797607421875
-83113.875,109.96954345703125,1.680704951286316,187474,132270.66565354,5552,135,750000,33340,0.0064,10.38,882.5247802734375
-85393.765625,103.28810119628906,-0.798586905002594,189974,131483.18079655,5631,134,760000,34300,0.0064,10.38,754.782958984375
-83304.7265625,101.26493072509766,-0.6536887884140015,192474,133583.60280579,5709,134,770000,35256,0.0064,10.58,988.657958984375
-85219.1171875,98.99901580810547,-2.124782085418701,194974,133585.10931516,5788,134,780000,36218,0.0064,10.29,746.59814453125
-84688.8359375,101.42594909667969,3.566801071166992,197474,133588.84924044,5866,134,790000,37195,0.0064,10.28,716.8464965820312
-84651.0390625,91.79645538330078,-1.7342040538787842,199974,133380.8,5946,134,800000,38166,0.0064,10.33,741.005615234375
