train/actor_loss,train/ent_coef,time/total_timesteps,train/critic_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/episodes,train/learning_rate,rollout/ep_len_mean,train/n_updates,time/fps,time/time_elapsed
6307.65869140625,44.94477462768555,520000,7806155.0,-552237.2684226,-1.3870694637298584,670,0.0055,882.73,129974,224,2318
6902.01171875,50.281349182128906,530000,898484.625,-479400.7653367,3.047635078430176,680,0.0055,867.92,132474,224,2363
21973.552734375,153.26417541503906,540000,1389664.25,-489657.96894995996,-9.541914939880371,692,0.0055,867.92,134974,224,2407
64503.40234375,55.38849639892578,550000,27730272.0,-574792.68918161,-109.1766586303711,703,0.0055,854.68,137474,224,2451
5237.5771484375,23.86762046813965,560000,1927548.625,-663097.42825532,16.77680778503418,719,0.0055,816.26,139974,224,2496
4260.66552734375,5.511277198791504,570000,1093958.0,-611007.6797988499,1.868377923965454,730,0.0055,792.25,142474,224,2540
13712.0126953125,97.82157135009766,580000,11008500.0,-1042262.2411956,29.958324432373047,742,0.0055,782.07,144974,224,2584
6778.73876953125,11.025969505310059,590000,740874.0,-951324.6785574701,6.856411933898926,753,0.0055,842.15,147474,224,2629
2937.26416015625,5.012026309967041,600000,34655424.0,-849906.30894586,2.50960111618042,762,0.0055,862.75,149974,224,2673
19483.296875,43.4954948425293,610000,2395466.0,-1106714.58941994,23.554698944091797,774,0.0055,869.77,152474,224,2716
4876.7421875,6.446422100067139,620000,1935738.5,-1087501.84789439,-4.880574703216553,785,0.0055,861.81,154974,224,2761
1753.801513671875,7.3523173332214355,630000,1086954.5,-1117001.5129525801,1.5078442096710205,799,0.0055,818.44,157474,224,2805
194251.171875,1161.7158203125,640000,116469552.0,-771169.9656534999,21.53440284729004,849,0.0055,549.29,159974,224,2849
48900.3203125,402.6168518066406,650000,17480120.0,-244693.42363116003,17.96397590637207,942,0.0055,94.61,162474,224,2893
23468.3828125,143.02955627441406,660000,43539896.0,-147945.71998156,9.74634075164795,965,0.0055,174.45,164974,224,2938
14544.443359375,112.9375228881836,670000,56625208.0,-147047.63735431002,0.6231759786605835,976,0.0055,258.1,167474,224,2982
85494.5234375,635.36328125,680000,32543812.0,-417574.90114579996,22.700849533081055,1014,0.0055,355.17,169974,224,3026
12463.1484375,81.85443878173828,690000,2698764.25,-414548.8141556101,6.806972026824951,1036,0.0055,423.06,172474,224,3069
1838.869140625,6.308865547180176,700000,25151052.0,-406844.92908118,-0.9938082695007324,1045,0.0055,491.16,174974,224,3113
19181.0546875,29.7974910736084,710000,50885292.0,-410447.40503476,-148.3701171875,1057,0.0055,566.51,177474,224,3156
1189607.875,36344.328125,720000,24204490752.0,-1749769.07000667,102.67752838134766,1075,0.0055,515.46,179974,224,3200
785842.375,4679.4072265625,730000,1957803776.0,-2074918.8745433798,62.764102935791016,1095,0.0055,527.57,182474,225,3243
489350.125,568.3046264648438,740000,486548448.0,-2330954.55500621,38.30519104003906,1107,0.0055,594.06,184974,225,3287
245861.828125,51.26523971557617,750000,188688992.0,-2652454.3413794,20.32464027404785,1124,0.0055,678.64,187474,225,3331
101625.2734375,7.088836669921875,760000,59588592.0,-2714246.2356178598,2.7027406692504883,1136,0.0055,684.56,189974,225,3375
35865.7421875,6.188362121582031,770000,13544118.0,-2801852.38235863,-3.2881531715393066,1149,0.0055,668.57,192474,225,3419
16433.794921875,16.42738914489746,780000,5822268.0,-2914838.199693099,2.918778657913208,1157,0.0055,675.61,194974,225,3463
295406.34375,5715.96875,790000,5336547328.0,-1897582.39737301,-258.04486083984375,1172,0.0055,705.27,197474,225,3508
423466.875,2229.0517578125,800000,1462445312.0,-1471694.73697724,64.89838409423828,1219,0.0055,521.48,199974,225,3552
256506.984375,102.60112762451172,810000,484456896.0,-1796653.65875716,24.675100326538086,1258,0.0055,315.2,202474,225,3595
212346.15625,18.072540283203125,820000,262611664.0,-798661.20866166,1.7343194484710693,1310,0.0055,215.12,204974,225,3639
