train/explained_variance,train/std,train/loss,train/learning_rate,train/clip_fraction,train/value_loss,rollout/ep_len_mean,time/total_timesteps,train/approx_kl,train/clip_range,train/policy_gradient_loss,time/time_elapsed,rollout/ep_rew_mean,train/entropy_loss,time/fps,train/n_updates
0.0,3.2067325115203857,579380992.0,0.0017,0.01944580078125,1596168051.3,56.17,800000,0.0046060598,0.2,-0.0032752608396549475,841,-206031.72884411,-30.865537267923354,950,970
0.0,3.249622344970703,987884288.0,0.0017,0.0155517578125,1633191787.35,60.0,810000,0.003953432,0.2,-0.0021212226538409595,851,-214852.23272269004,-31.029473978281022,951,980
0.0,3.3431241512298584,802907136.0,0.0017,0.0151123046875,1529677321.25,60.83,820000,0.004347936,0.2,-0.0025580414967407705,865,-207790.16204137,-31.365718953311443,947,1000
0.0,3.3917999267578125,834384640.0,0.0017,0.02159423828125,1619089478.1,64.5,830000,0.0049551637,0.2,-0.002696779893449275,874,-223690.26910370003,-31.536840607225894,948,1010
-1.1920928955078125e-07,3.4407107830047607,876430912.0,0.0017,0.0193115234375,1556396009.35,58.66,840000,0.0043200846,0.2,-0.002324911270261509,884,-210947.44475442998,-31.708309853076933,949,1020
0.0,3.4835660457611084,619816960.0,0.0017,0.01727294921875,1644928141.0,61.25,850000,0.0039432365,0.2,-0.002640230434371915,893,-210036.76546919002,-31.86675119102001,951,1030
0.0,3.531156539916992,900640640.0,0.0017,0.01968994140625,1640268353.55,60.76,860000,0.0043023205,0.2,-0.0027760726270571467,903,-213695.12639612,-32.02558624595404,952,1040
0.0,3.625749349594116,685711744.0,0.0017,0.02415771484375,1561901021.1,65.49,870000,0.0048680613,0.2,-0.002997613657498732,917,-220107.63526063002,-32.33129916489124,948,1060
0.0,3.6881017684936523,752867904.0,0.0017,0.02750244140625,1577397558.15,62.87,880000,0.0054025394,0.2,-0.003583462682308891,926,-215001.52412137997,-32.522737303376196,949,1070
0.0,3.735614776611328,596513536.0,0.0017,0.01595458984375,1708886595.7,57.52,890000,0.0041652583,0.2,-0.0023606696497154188,935,-207312.71432113997,-32.695139572024345,951,1080
-1.1920928955078125e-07,3.796137571334839,820381632.0,0.0017,0.0192138671875,1419596503.8,55.69,900000,0.0046277135,0.2,-0.0027774516223871616,945,-201440.60939454,-32.86892057657242,951,1090
1.1920928955078125e-07,3.9076712131500244,848864704.0,0.0017,0.01715087890625,1518415826.4,72.74,910000,0.004423661,0.2,-0.002196517582251545,959,-248772.58836832992,-33.223392435908316,948,1110
0.0,3.967573881149292,751789056.0,0.0017,0.02177734375,1544373406.2,64.71,920000,0.004918754,0.2,-0.0025359401568493924,968,-237047.27819303,-33.40384878516197,949,1120
0.0,4.018916130065918,544622976.0,0.0017,0.02847900390625,1551240724.8,73.96,930000,0.005091543,0.2,-0.003406396379432408,977,-258156.98962295,-33.56935868263245,950,1130
0.0,4.083808898925781,711379456.0,0.0017,0.01827392578125,1494928991.4,54.0,940000,0.004407388,0.2,-0.0020739761874210673,987,-203743.58964601997,-33.74271246492863,952,1140
1.1920928955078125e-07,4.140199184417725,720448320.0,0.0017,0.0172607421875,1566861282.95,61.77,950000,0.0041583288,0.2,-0.002786376811127411,996,-228139.31858070998,-33.9205506592989,953,1150
-2.384185791015625e-07,4.257030963897705,1003706112.0,0.0017,0.0140380859375,1481369990.95,63.99,960000,0.0042208005,0.2,-0.0017416561644495233,1010,-229772.58664382005,-34.25248669981956,949,1170
0.0,4.321438789367676,842033408.0,0.0017,0.01815185546875,1462682448.15,64.79,970000,0.0045161927,0.2,-0.0020354977395982132,1019,-222935.29349470002,-34.42749145328999,951,1180
2.384185791015625e-07,4.393449306488037,892514752.0,0.0017,0.02237548828125,1515399741.85,61.15,980000,0.005171017,0.2,-0.0027876832440597355,1029,-219545.67910433,-34.6162145793438,952,1190
1.1920928955078125e-07,4.444084167480469,634966400.0,0.0017,0.01571044921875,1630509443.45,64.44,990000,0.0040133046,0.2,-0.0024044904486800077,1038,-235573.61662416998,-34.77667398750782,953,1200
5.960464477539063e-08,4.58837890625,605259200.0,0.0017,0.02242431640625,1393301252.45,64.61,1000000,0.005466016,0.2,-0.002720901746033633,1050,-235608.1719517,-35.127483409643176,951,1220
