train/learning_rate,train/n_updates,time/time_elapsed,rollout/ep_len_mean,train/policy_gradient_loss,train/explained_variance,rollout/ep_rew_mean,time/total_timesteps,train/value_loss,train/loss,train/entropy_loss,train/approx_kl,train/std,train/clip_range,time/fps,train/clip_fraction
0.0017,500,456,41.72,-0.0019732131046112044,1.7881393432617188e-07,-577920.01404675,410000,19886144955.2,10134289408.0,-19.1263469055295,0.0016730659,1.1939769983291626,0.2,897,0.0006103515625
0.0017,510,466,44.02,-0.001964434808178339,0.0,-608516.38522689,420000,20271413673.6,9922938880.0,-19.1795583575964,0.0015277729,1.1993051767349243,0.2,899,0.00074462890625
0.0017,520,477,37.25,-0.002376260313030798,-1.1920928955078125e-07,-518094.46997849003,430000,19521704912.0,10058524672.0,-19.231130285561086,0.0023225155,1.2042344808578491,0.2,901,0.0017333984375
0.0017,530,487,44.82,-0.002595504127748427,1.7881393432617188e-07,-619359.0652677199,440000,19413155008.8,10213524480.0,-19.281848357617854,0.0022437945,1.209520697593689,0.2,902,0.00123291015625
0.0017,540,497,41.62,-0.0025565224297679377,-1.1920928955078125e-07,-570894.48170374,450000,19925889323.2,10066832384.0,-19.32697001248598,0.0023565185,1.2133369445800781,0.2,904,0.00189208984375
0.0017,560,512,42.86,-0.002330964910288458,0.0,-587182.2112135901,460000,19400855819.2,9539805184.0,-19.41196070164442,0.0018949813,1.222319483757019,0.2,897,0.00078125
0.0017,570,522,39.06,-0.003351487542022369,-1.1920928955078125e-07,-541892.6071843699,470000,19947878736.0,10060598272.0,-19.457947793602944,0.002982039,1.2271654605865479,0.2,899,0.0040283203125
0.0017,580,533,45.92,-0.0020898613232930075,2.384185791015625e-07,-619734.60293773,480000,18913069308.0,9738347520.0,-19.50575035661459,0.0018244515,1.2321772575378418,0.2,900,0.0009765625
0.0017,590,543,40.64,-0.003455648769613617,0.0,-554787.55431633,490000,19070569405.6,8934979584.0,-19.552672447264193,0.003268268,1.2367414236068726,0.2,901,0.00487060546875
0.0017,610,558,39.37,-0.002360747518196149,0.0,-545292.1746706101,500000,19283156915.2,9595638784.0,-19.649676635861397,0.0023682867,1.2468241453170776,0.2,895,0.0028564453125
0.0017,620,568,35.9,-0.0018162763512009406,-1.1920928955078125e-07,-489447.96067868994,510000,18653762676.0,9357391872.0,-19.692680935561658,0.0013889266,1.251198649406433,0.2,896,0.000390625
0.0017,630,578,31.99,-0.0020555908185997396,0.0,-452024.55467671005,520000,18260151392.0,8553328640.0,-19.740337625145912,0.0013916634,1.2567660808563232,0.2,898,0.00052490234375
0.0017,640,588,38.47,-0.002077339753304841,0.0,-525955.0935854099,530000,18416907228.8,9473817600.0,-19.79152788668871,0.0019048075,1.2619763612747192,0.2,900,0.00118408203125
0.0017,650,598,36.4,-0.002057793897620286,0.0,-503849.7964485299,540000,18156270819.2,9765054464.0,-19.838674905896188,0.0016850391,1.2667285203933716,0.2,902,0.00064697265625
