train/actor_loss,rollout/ep_rew_mean,train/learning_rate,time/fps,train/n_updates,time/total_timesteps,train/critic_loss,train/ent_coef_loss,train/ent_coef,time/episodes,rollout/ep_len_mean,time/time_elapsed
-23115.734375,-192267.76224220998,0.001,154,164974,660000,13603620.0,-0.7240964770317078,29.235685348510742,4340,584.28,4280
-24998.2421875,-210440.68916674002,0.001,154,167474,670000,27407398.0,0.3096194863319397,27.667177200317383,4358,635.91,4346
-23475.7890625,-221296.33928245,0.001,154,169974,680000,72769424.0,0.030856847763061523,28.949569702148438,4371,630.8,4407
-24779.693359375,-206560.10249248001,0.001,154,172474,690000,42645296.0,-0.7061643600463867,26.968168258666992,4393,621.9,4468
-24750.458984375,-198792.42395032995,0.001,154,174974,700000,12906470.0,-1.5843579769134521,28.576824188232422,4407,634.14,4529
-28844.51953125,-203070.76697297994,0.001,154,177474,710000,154609520.0,-0.08923709392547607,29.219533920288086,4422,622.31,4590
-28594.2578125,-171756.00981483998,0.001,154,179974,720000,110268056.0,3.3167824745178223,30.11389923095703,4443,573.73,4651
-28963.4296875,-159128.2726243,0.001,154,182474,730000,64293408.0,-0.39257991313934326,27.760746002197266,4461,572.91,4721
-27141.0,-212846.21010026996,0.001,154,184974,740000,93238608.0,-1.8443883657455444,25.85034942626953,4475,580.3,4791
-27288.9765625,-220894.92054584005,0.001,154,187474,750000,43752276.0,-0.5965964794158936,28.93876075744629,4488,618.1,4861
-26552.1484375,-199567.59151746,0.001,154,189974,760000,14810193.0,1.569958209991455,30.561649322509766,4509,586.92,4930
-28907.91796875,-210397.63252546,0.001,154,192474,770000,21944924.0,0.9801337718963623,28.788000106811523,4519,630.02,4994
-29393.501953125,-208455.57331491998,0.001,153,194974,780000,13348127.0,0.6547260880470276,30.32451820373535,4531,680.72,5065
-28367.35546875,-202696.32457078996,0.001,154,197474,790000,36795444.0,-2.9559519290924072,31.391666412353516,4542,702.05,5127
-29848.63671875,-202255.25882899002,0.001,154,199974,800000,12257914.0,1.0334088802337646,31.259048461914062,4557,734.47,5188
-30037.96875,-157191.05662892002,0.001,154,202474,810000,57681944.0,1.8930773735046387,30.958105087280273,4577,677.38,5250
-30488.609375,-200612.52864194,0.001,154,204974,820000,7683973.5,1.891029715538025,28.627779006958008,4594,679.0,5313
-30635.568359375,-201655.87587807,0.001,154,207474,830000,13666310.0,0.015309512615203857,28.64634895324707,4605,730.56,5375
-31519.140625,-176014.13348536994,0.001,154,209974,840000,13569413.0,-0.410988450050354,26.999530792236328,4619,703.56,5438
-30451.515625,-259628.50142481,0.001,154,212474,850000,17707734.0,-1.5794806480407715,30.340961456298828,4633,685.5,5501
-28378.58203125,-263456.98938037,0.001,154,214974,860000,72574448.0,1.2998682260513306,28.224803924560547,4643,687.7,5562
-31534.37890625,-286883.04669396003,0.001,154,217474,870000,11923470.0,-0.566459596157074,28.62594985961914,4664,664.92,5625
-29889.38671875,-392142.53433031996,0.001,154,219974,880000,22797160.0,1.8620786666870117,30.089921951293945,4675,714.31,5690
-30012.623046875,-389016.83773432,0.001,154,222474,890000,21373204.0,1.0394455194473267,26.36888313293457,4686,740.55,5751
-30740.27734375,-398590.48063887,0.001,154,224974,900000,59146496.0,0.48858141899108887,28.773679733276367,4698,769.36,5812
-31006.79296875,-433381.6956107,0.001,154,227474,910000,65448136.0,-0.5408098697662354,28.083505630493164,4709,759.17,5875
-31789.99609375,-378881.4119829999,0.001,154,229974,920000,10817861.0,2.011475086212158,30.17328453063965,4726,745.42,5942
-31242.0859375,-347857.5119775501,0.001,154,232474,930000,13662756.0,-0.9533095359802246,27.51156997680664,4743,705.44,6002
-31259.865234375,-435153.94102773996,0.001,154,234974,940000,11749933.0,-0.9924228191375732,28.330780029296875,4755,774.39,6064
-30768.15234375,-404710.56097974995,0.001,155,237474,950000,6232862.0,-1.8050199747085571,29.55463218688965,4765,789.38,6126
-31332.27734375,-280195.9753788101,0.001,155,239974,960000,105594576.0,-0.23225587606430054,30.279964447021484,4775,806.08,6187
-30052.974609375,-237304.38896329995,0.001,155,242474,970000,70641704.0,-0.6594562530517578,30.01674461364746,4785,806.08,6251
-32448.140625,-233759.05734004997,0.001,155,244974,980000,63177648.0,-0.200113445520401,28.924945831298828,4798,784.44,6319
-30583.28515625,-260233.40975336998,0.001,154,247474,990000,27659146.0,-2.1798999309539795,29.218460083007812,4819,740.33,6388
-30716.734375,-247932.03970452,0.001,154,249974,1000000,69889744.0,-1.2402470111846924,29.952302932739258,4830,782.39,6453
