train/value_loss,time/time_elapsed,time/total_timesteps,train/clip_range,train/explained_variance,train/loss,train/n_updates,rollout/ep_len_mean,train/entropy_loss,time/fps,rollout/ep_rew_mean,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/std
7313470474.8,966,740000,0.2,0.0,3579306496.0,900,19.41,-16.922959162294866,765,-146456.69700145998,0.0012693467,0.0003,-0.0015992321441444801,1.220703125e-05,0.9913784861564636
7060930383.6,978,750000,0.2,5.960464477539063e-08,3826074368.0,910,17.93,-16.92185949832201,766,-138929.1564191,0.000713525,0.0003,-0.0009075852818568819,0.0,0.9912447333335876
7302907887.2,990,760000,0.2,-2.384185791015625e-07,3407274496.0,920,18.2,-16.918095779418945,767,-137402.89135008998,0.00065632607,0.0003,-0.000935972058596235,0.0,0.9907569289207458
7628247236.4,1002,770000,0.2,0.0,3995211776.0,930,16.48,-16.91538301259279,767,-137445.89164152,0.0013345786,0.0003,-0.0016750614657212281,2.44140625e-05,0.9908149838447571
7311849872.4,1019,780000,0.2,0.0,3603062528.0,950,17.74,-16.91117957383394,764,-143506.44789227,0.00072029966,0.0003,-0.0009503461153144599,0.0,0.9902486205101013
7322714783.2,1032,790000,0.2,0.0,3205416960.0,960,16.31,-16.90712163299322,765,-136995.88161424999,0.0009069706,0.0003,-0.0011664214736811119,0.0,0.9899556040763855
7664460672.0,1044,800000,0.2,-1.1920928955078125e-07,3399482624.0,970,18.28,-16.90443673878908,766,-149673.26319088996,0.0003518548,0.0003,-0.0006253543542698026,0.0,0.9898106455802917
6944442080.4,1056,810000,0.2,0.0,3731231744.0,980,16.16,-16.90283709317446,766,-137208.35674423003,0.00031023694,0.0003,-0.00040604528358016977,0.0,0.9896929860115051
7050943912.0,1073,820000,0.2,-1.1920928955078125e-07,3897987072.0,1000,18.18,-16.897519247233866,763,-152249.03936349996,0.00021406094,0.0003,-0.0004570479855829035,0.0,0.989173412322998
7328439572.4,1085,830000,0.2,-1.1920928955078125e-07,3195104512.0,1010,17.1,-16.89496341794729,764,-137352.1577738,0.000646413,0.0003,-0.0008220637962040201,0.0,0.9890486598014832
7086489532.4,1097,840000,0.2,0.0,3821675520.0,1020,16.99,-16.893886883556842,765,-139505.44540796,0.0009267841,0.0003,-0.0011041103900424787,0.0,0.9889929890632629
7342221518.0,1110,850000,0.2,0.0,3314378496.0,1030,20.19,-16.891615711152554,765,-154419.54942019,0.0011065737,0.0003,-0.0012995855810004286,2.44140625e-05,0.9886763095855713
7480982515.6,1122,860000,0.2,-2.384185791015625e-07,3778722816.0,1040,14.39,-16.88848923295736,766,-119419.83346301,0.0008864349,0.0003,-0.0012024861651298124,0.0,0.9884800314903259
6996812035.2,1139,870000,0.2,1.1920928955078125e-07,3505796352.0,1060,16.76,-16.88132712393999,763,-139648.93114201003,0.00093328557,0.0003,-0.0010310426509022364,0.0,0.9879457354545593
6797636919.2,1151,880000,0.2,1.1920928955078125e-07,3096366336.0,1070,19.55,-16.879594942927362,764,-150432.13041821,0.0006680987,0.0003,-0.000843655517383013,0.0,0.987758457660675
